Unnamed: 0,sentimen,tweet,tweet_no_stopwords,stem
1601,netral,kata bang sandi kalau mau harga bahan pokok murah ya tpstusuk prabowo sandi kalau mau tidak kangen kangen an member lagi ya tusut mashook tidak,bang sandi harga bahan pokok murah ya tpstusuk prabowo sandi tidak kangen kangen an member ya tusut mashook tidak,bang sandi harga bahan pokok murah ya tpstusuk prabowo sandi tidak kangen kangen an member ya tusut mashook tidak
1602,netral,yakiinn tuu tidak ada nunggak pajaknya ya prabowo,yakiinn tuu tidak nunggak pajaknya ya prabowo,yakiinn tuu tidak nunggak pajak ya prabowo
1603,netral,perlu kita ingat bahwa dasar negara kita pancasila nkri bhinneka tunggal ika uud 1945 sudah final harga mati dan tidak bisa diganggu gugat kata jokowi jokowimenangtotaldebat,dasar negara pancasila nkri bhinneka tunggal ika uud 1945 final harga mati tidak diganggu gugat jokowi jokowimenangtotaldebat,dasar negara pancasila nkri bhinneka tunggal ika uud 1945 final harga mati tidak ganggu gugat jokowi jokowimenangtotaldebat
1604,negatif,terlampau optimisjadi sombong takaburmakanya beliau selalu optimis janji masalalu tidak tercapaioptimisharga sawit anjlok optimisharga karet terjun optimis optimispertumbuhan ekonomi 5 optimisy,terlampau optimisjadi sombong takaburmakanya beliau optimis janji masalalu tidak tercapaioptimisharga sawit anjlok optimisharga karet terjun optimis optimispertumbuhan ekonomi 5 optimisy,lampau optimisjadi sombong takaburmakanya beliau optimis janji masalalu tidak tercapaioptimisharga sawit anjlok optimisharga karet terjun optimis optimispertumbuhan ekonomi 5 optimisy
1605,netral,pemerintahan jokowi fokus pada pertumbuhan ekonomi berkeadilan a,pemerintahan jokowi fokus pertumbuhan ekonomi berkeadilan a,perintah jokowi fokus tumbuh ekonomi adil a
1606,positif,kalimat penutup yang luarbiasa jika nanti prabowo sandi menang terpilih menjadi presiden dan wakil presiden maka tidak akan ambil gaji maa syaa allah tpstuhtusukprabowosandi,kalimat penutup luarbiasa prabowo sandi menang terpilih presiden wakil presiden tidak ambil gaji maa syaa allah tpstuhtusukprabowosandi,kalimat tutup luarbiasa prabowo sandi menang pilih presiden wakil presiden tidak ambil gaji maa syaa allah tpstuhtusukprabowosandi
1607,positif,salut sama pak prabowo sandiuno dengan tidak akan mengambil gaji 1 rupiahpun apabila diberi amanah jadi presiden rela berkorban jiwa raga dan harta untuk nkri sdgkan banyak sekali pejabat yang serakah hingga korupsi besar2an prabowosandimenang semangat gerindra fadlizon dahnilanzar,salut prabowo sandiuno tidak mengambil gaji 1 rupiahpun amanah presiden rela berkorban jiwa raga harta nkri sdgkan pejabat serakah korupsi besar2an prabowosandimenang semangat gerindra fadlizon dahnilanzar,salut prabowo sandiuno tidak ambil gaji 1 rupiah amanah presiden rela korban jiwa raga harta nkri sdgkan jabat serakah korupsi besar2an prabowosandimenang semangat gerindra fadlizon dahnilanzar
1608,negatif,omg sudahlah ya e sport sebagai ekonomi kreatif itu bisa buka peluang buat banyak orang sempit amat sudah,omg ya e sport ekonomi kreatif buka peluang orang sempit,omg ya e sport ekonomi kreatif buka peluang orang sempit
1609,negatif,prabowo sandi janji tidak ambil gajinya sebagai presiden wakil presiden ya pasti berani lah kan tidak mungkin jadi presiden wakil karena tidak kepilih ngelawak nehy pictwittercomiyj9j4succ,prabowo sandi janji tidak ambil gajinya presiden wakil presiden ya berani tidak presiden wakil tidak kepilih ngelawak nehy pictwittercomiyj9j4succ,prabowo sandi janji tidak ambil gaji presiden wakil presiden ya berani tidak presiden wakil tidak pilih ngelawak nehy pictwittercomiyj9j4succ
1610,netral,memimpin itu perlu ke ikhlasan kalau cari gaji ya betul kerja pilih prabowo sandi siap membela negeri y,memimpin ikhlasan cari gaji ya kerja pilih prabowo sandi membela negeri y,pimpin ikhlas cari gaji ya kerja pilih prabowo sandi bela negeri y
1611,netral,bintang debat kali ini menurut saya jokowi sama sandi ya cucok sih bahasannya ekonomi duaanya samaa pengusaha yekan,bintang debat kali jokowi sandi ya cucok sih bahasannya ekonomi duaanya samaa pengusaha yekan,bintang debat kali jokowi sandi ya cucok sih bahas ekonomi duaanya samaa usaha yekan
1612,positif,jokowi abis belajar makro nih bisabisanya counterattack pakai istilah ekonomi wkwkwk,jokowi abis belajar makro nih bisabisanya counterattack pakai istilah ekonomi wkwkwk,jokowi abis ajar makro nih bisabisanya counterattack pakai istilah ekonomi wkwkwk
1613,netral,pernyataan penutup debat kev jokowi khmarufamin kami yakin kemajuan ekonomi kesejahteraan rakyat melalui upaya nyata dalam pembangun di bidang infrastrukur dan pembangunan sdm revormasi subtantif lebih dirasakan dalam tahun 2014,pernyataan penutup debat kev jokowi khmarufamin kemajuan ekonomi kesejahteraan rakyat upaya nyata pembangun bidang infrastrukur pembangunan sdm revormasi subtantif dirasakan 2014,nyata tutup debat kev jokowi khmarufamin maju ekonomi sejahtera rakyat upaya nyata bangun bidang infrastrukur bangun sdm revormasi subtantif rasa 2014
1614,negatif,pak tolong jika bapak prabowo jadi presiden buat bangga dan kuat tni masa indonesia minciptakan kapal selam pertama coma menham yang resmikan ini presidennya ribuk meresmikan jalan tol menghargai karena anak bangsa lebih berarti jalan tol miris melihat tni seperti ini,tolong prabowo presiden bangga kuat tni indonesia minciptakan kapal selam coma menham resmikan presidennya ribuk meresmikan jalan tol menghargai anak bangsa jalan tol miris tni,tolong prabowo presiden bangga kuat tni indonesia minciptakan kapal selam coma menham resmi presiden ribuk resmi jalan tol harga anak bangsa jalan tol miris tni
1615,positif,pertama dalam sejarah capres dan cawapres siap tak ambil gajinya dan akan menyerahkan kepada negara untuk disumbangkan kepada kaum dhuafa dan yatim piatu luar biasa rakyat yakin ke tps tusuk prabowo sandi 02 hoaxjkwmenangtotaldebat,sejarah capres cawapres ambil gajinya menyerahkan negara disumbangkan kaum dhuafa yatim piatu rakyat tps tusuk prabowo sandi 02 hoaxjkwmenangtotaldebat,sejarah capres cawapres ambil gaji serah negara sumbang kaum dhuafa yatim piatu rakyat tps tusuk prabowo sandi 02 hoaxjkwmenangtotaldebat
1616,positif,tidak salah kok tanya esport gamer sekarang profesi anak muda bisa juga juga jadi enterpreuner dengan membut game orang yang berumur 40 tahun pun masih main game di hp bayangkan kalau banyak orang main game karya anak indonesia jadi ini juga peluang meningkatkan ekonomi,tidak salah esport gamer profesi anak muda enterpreuner membut game orang berumur 40 main game hp bayangkan orang main game karya anak indonesia peluang meningkatkan ekonomi,tidak salah esport gamer profesi anak muda enterpreuner membut game orang umur 40 main game hp bayang orang main game karya anak indonesia peluang tingkat ekonomi
1617,positif,infrakstruktur adalah bentuk keadilan sosial pembangujan akan merata tidak cuma di kota2 besar saja meningkatkan perekonomian di derah2 yang selama ininsukar terjangkau menteri2 jokowi banyak yang hebat,infrakstruktur bentuk keadilan sosial pembangujan merata tidak kota2 meningkatkan perekonomian derah2 ininsukar terjangkau menteri2 jokowi hebat,infrakstruktur bentuk adil sosial pembangujan rata tidak kota2 tingkat ekonomi derah2 ininsukar jangkau menteri2 jokowi hebat
1618,netral,di era pemerintahan pakde jokowi infrastruktur2 terus dibangun untuk pertumbuhan ekonomi,era pemerintahan pakde jokowi infrastruktur2 dibangun pertumbuhan ekonomi,era perintah pakde jokowi infrastruktur2 bangun tumbuh ekonomi
1619,netral,closing statement kyai maruf optimis akan sukses dalam membangun ekonomi bangsa ini jokowi positifisme pilpres akan membawa indonesia ke puncak kejayaan sandi mengemis suara prabowo coba meraih simpati dengan kembali menyerang dengan senjata hoax jokowimenangtotaldebat pictwittercomzk7rklfe13,closing statement kyai maruf optimis sukses membangun ekonomi bangsa jokowi positifisme pilpres membawa indonesia puncak kejayaan sandi mengemis suara prabowo coba meraih simpati menyerang senjata hoax jokowimenangtotaldebat pictwittercomzk7rklfe13,closing statement kyai maruf optimis sukses bangun ekonomi bangsa jokowi positif pilpres bawa indonesia puncak jaya sandi emis suara prabowo coba raih simpati serang senjata hoax jokowimenangtotaldebat pictwittercomzk7rklfe13
1620,netral,sementara menurut prabowo bumn adalah benteng terakhir ekonomi di indonesia dan melihat benteng itu goyah debatterakhirpilpres2019 debatpilpres2019 pictwittercomhnrhhmmngn,prabowo bumn benteng ekonomi indonesia benteng goyah debatterakhirpilpres2019 debatpilpres2019 pictwittercomhnrhhmmngn,prabowo bumn benteng ekonomi indonesia benteng goyah debatterakhirpilpres2019 debatpilpres2019 pictwittercomhnrhhmmngn
1621,netral,bumn kita adalah benteng terakhir ekonomi indonesia sekarang bentengbenteng itu goyah studi bloomberg bep penerbangan bisa untung garuda baru bisa untung kalau penumpangnya 120 persen berarti tidak akan pernah bisa untung prabowo pictwittercomeghdglwnft,bumn benteng ekonomi indonesia bentengbenteng goyah studi bloomberg bep penerbangan untung garuda untung penumpangnya 120 persen tidak untung prabowo pictwittercomeghdglwnft,bumn benteng ekonomi indonesia bentengbenteng goyah studi bloomberg bep terbang untung garuda untung tumpang 120 persen tidak untung prabowo pictwittercomeghdglwnft
1622,positif,masyaallah prabowo sandi berjanji tidak akan mengambil sepeserpun gaji mereka jika terpilih 02menangdebat,masyaallah prabowo sandi berjanji tidak mengambil sepeserpun gaji terpilih 02menangdebat,masyaallah prabowo sandi janji tidak ambil peser gaji pilih 02menangdebat
1623,positif,insyaallah prabowo sandi bisa mungkin tidak keseluruhan utang akan terlunasi tapi yakin asset negara akan bisa kembali ke indonesia kalau dengar setiap perkataan prabowo ekonomi akan membaik kalau mendengar penjelasan sandiaga uno insyaallah 17aprilprabowopresidenri,insyaallah prabowo sandi tidak utang terlunasi asset negara indonesia dengar perkataan prabowo ekonomi membaik mendengar penjelasan sandiaga uno insyaallah 17aprilprabowopresidenri,insyaallah prabowo sandi tidak utang lunas asset negara indonesia dengar kata prabowo ekonomi baik dengar jelas sandiaga uno insyaallah 17aprilprabowopresidenri
1624,negatif,bukan tidak ngerti tapi fokusnya tidak ke esport jadi jelasin dulu fokus pertanian soalnya dari pertanian bisa loncat ke ekonomi esport juga kan ada dapat duit dan kasih duit ujung2nya bisa dibilang nyambung kok,tidak ngerti fokusnya tidak esport jelasin fokus pertanian pertanian loncat ekonomi esport duit kasih duit ujung2nya dibilang nyambung,tidak ngerti fokus tidak esport jelasin fokus tani tani loncat ekonomi esport duit kasih duit ujung2nya bilang nyambung
1625,positif,ekonomi akan tumbuh dengan pemimpin pak jokowi jokowimenangtotaldebat pictwittercomji4hfii1ww,ekonomi tumbuh pemimpin jokowi jokowimenangtotaldebat pictwittercomji4hfii1ww,ekonomi tumbuh pimpin jokowi jokowimenangtotaldebat pictwittercomji4hfii1ww
1626,positif,saya percaya bang sandiwaktu jadi wagub sajabeliau tak ambil gajibeliau sumbangkan semua gajinya maksud pak prabowo jangan suka mengklaim hasil pemikiran ayo ide2 orang lain,percaya bang sandiwaktu wagub sajabeliau ambil gajibeliau sumbangkan gajinya maksud prabowo suka mengklaim hasil pemikiran ayo ide2 orang,percaya bang sandiwaktu wagub sajabeliau ambil gajibeliau sumbang gaji maksud prabowo suka klaim hasil pikir ayo ide2 orang
1627,positif,penutup yang jos dari prabowo sandi tidak akan menerima gaji dan akan menyumbangkannya untuk kaum dhuafa yang paling penting beliau bertekad menunaikan janjinyawis wayahe kita hari rabu tanggal 17 april 2019 ke tps tusuk prabowo sandi untuk indonesia menang guekapokpilihjokowi,penutup jos prabowo sandi tidak menerima gaji menyumbangkannya kaum dhuafa beliau bertekad menunaikan janjinyawis wayahe rabu tanggal 17 april 2019 tps tusuk prabowo sandi indonesia menang guekapokpilihjokowi,tutup jos prabowo sandi tidak terima gaji sumbang kaum dhuafa beliau tekad tunai janjinyawis wayahe rabu tanggal 17 april 2019 tps tusuk prabowo sandi indonesia menang guekapokpilihjokowi
1628,positif,prabowo sandi jika terpilih tidak ambil gaji itu tanda bahwa mereka kerja untuk rakyat jika terpilih nanti sayayakinprabowomenang debatterakhirpilpres2019 aagympilihprabowo,prabowo sandi terpilih tidak ambil gaji tanda kerja rakyat terpilih sayayakinprabowomenang debatterakhirpilpres2019 aagympilihprabowo,prabowo sandi pilih tidak ambil gaji tanda kerja rakyat pilih sayayakinprabowomenang debatterakhirpilpres2019 aagympilihprabowo
1629,negatif,saya streaming idn times ada narsum yang ngejelasin ekonomi makro dan mikro barusan saja dia bilang paslon yang sok jadi ahli ekonomi petahana memang ngeles kalau disinggung masalah ekonomi mikro y,streaming idn times narsum ngejelasin ekonomi makro mikro barusan bilang paslon sok ahli ekonomi petahana ngeles disinggung ekonomi mikro y,streaming idn times narsum ngejelasin ekonomi makro mikro barusan bilang paslon sok ahli ekonomi tahana ngeles singgung ekonomi mikro y
1630,negatif,pokoknya kata prabowo kehancuran ekonomi ini bukan salah pak jokowi tapi salah presiden sebelum nya yaitu sbyy y y,pokoknya prabowo kehancuran ekonomi salah jokowi salah presiden nya sbyy y y,pokok prabowo hancur ekonomi salah jokowi salah presiden nya sbyy y y
1631,netral,nawacita jokowi di nilai sangat sukuses diantaranya mewujudkan kemandirian ekonomi dengan menggerakkan sektor2 strategis ekonomi domestik meningkatkan produktivitas rakyat daya saing di pasar internasional sehingga indonesia bisa maju jokowimenangtotaldebat,nawacita jokowi nilai sukuses mewujudkan kemandirian ekonomi menggerakkan sektor2 strategis ekonomi domestik meningkatkan produktivitas rakyat daya saing pasar internasional indonesia maju jokowimenangtotaldebat,nawacita jokowi nilai sukuses wujud mandiri ekonomi gerak sektor2 strategis ekonomi domestik tingkat produktivitas rakyat daya saing pasar internasional indonesia maju jokowimenangtotaldebat
1632,positif,presiden mana yang tidak mengambil gajinya coba keiklasan yang masya allah sekali haqqul yakiin tusuk prabowo sandi,presiden tidak mengambil gajinya coba keiklasan masya allah haqqul yakiin tusuk prabowo sandi,presiden tidak ambil gaji coba keiklasan masya allah haqqul yakiin tusuk prabowo sandi
1633,negatif,lohh ekspor kita terlalu banyakpanen dari petani terbuang percumakita negara agrari tapi hampir full eksporituu yang bikin rugi petaniikasian petani susah payah tanam panen tapi tidak ada yang konsumsi terus kenapa jokowi berbicara fundamental ekonomi malah game gajelasakal sehatnya mana,lohh ekspor banyakpanen petani terbuang percumakita negara agrari full eksporituu bikin rugi petaniikasian petani susah payah tanam panen tidak konsumsi jokowi berbicara fundamental ekonomi game gajelasakal sehatnya,lohh ekspor banyakpanen tani buang percumakita negara agrari full eksporituu bikin rugi petaniikasian tani susah payah tanam panen tidak konsumsi jokowi bicara fundamental ekonomi game gajelasakal sehat
1634,positif,indonesia butuh perubahan pemimpin yang berani melihat prabowo sandi sangat cocok bang sandi paham betul ekonomi prabowo tegas berani karakter pemimpin dunia indonesia harus kuat harus unjuk prestasi dunia beranipilih02,indonesia butuh perubahan pemimpin berani prabowo sandi cocok bang sandi paham ekonomi prabowo berani karakter pemimpin dunia indonesia kuat unjuk prestasi dunia beranipilih02,indonesia butuh ubah pimpin berani prabowo sandi cocok bang sandi paham ekonomi prabowo berani karakter pimpin dunia indonesia kuat unjuk prestasi dunia beranipilih02
1635,netral,industri kreatif itu bisa jadi salah satu cara rakyat keluar dari kemiskinan dan cari makan salah satu industri kreatif ini contohnya esport potensi ekonominua besar iniloh cmon man be wise,industri kreatif salah rakyat kemiskinan cari makan salah industri kreatif contohnya esport potensi ekonominua iniloh cmon man be wise,industri kreatif salah rakyat miskin cari makan salah industri kreatif contoh esport potensi ekonominua iniloh cmon man be wise
1636,negatif,gini ya kalau 02 biarlah prabowo yang mikir rakyat kecil ekonomi mikro keamanan kalau sandi mikir teknologi pendidikan kasihan kalau 01 dibebanin ke joko semua pak maruf saja bicara di debat tadi ngos ngosan masa disuruh kerja ini itu,gini ya 02 biarlah prabowo mikir rakyat ekonomi mikro keamanan sandi mikir teknologi pendidikan kasihan 01 dibebanin joko maruf bicara debat ngos ngosan disuruh kerja,gin ya 02 biar prabowo mikir rakyat ekonomi mikro aman sandi mikir teknologi didik kasihan 01 dibebanin joko maruf bicara debat ngos ngosan suruh kerja
1637,netral,akuntabilitas kenegarawan teruji dengan menerimanya tersenyum saat prabowo salahkan para presiden sebelum jokowi soal perekonomian negara,akuntabilitas kenegarawan teruji menerimanya tersenyum prabowo salahkan presiden jokowi perekonomian negara,akuntabilitas kenegarawan uji terima senyum prabowo salah presiden jokowi ekonomi negara
1638,negatif,45 tahun ajar makro ekonomi pak tapi tidak tahu benar apa salah tusukprabowosandi prabowo sandiuno menang,45 ajar makro ekonomi tidak salah tusukprabowosandi prabowo sandiuno menang,45 ajar makro ekonomi tidak salah tusukprabowosandi prabowo sandiuno menang
1639,negatif,faktanya pertumbuhan ekonomi tidak naik2,faktanya pertumbuhan ekonomi tidak naik2,fakta tumbuh ekonomi tidak naik2
1640,positif,asli terbahak-bahak kalau pak jokowi tanya ekonomi digital jokowimenangtotaldebat,asli terbahak-bahak jokowi ekonomi digital jokowimenangtotaldebat,asli bahak jokowi ekonomi digital jokowimenangtotaldebat
1641,positif,program tax amnesty nya pun diakui dunia sebagai program yang bisa menyelamatkan ekonomi negara duet jokowi bu sri mulyani memang teopebegete y jokowimenangtotaldebat,program tax amnesty nya diakui dunia program menyelamatkan ekonomi negara duet jokowi bu sri mulyani teopebegete y jokowimenangtotaldebat,program tax amnesty nya aku dunia program selamat ekonomi negara duet jokowi bu sri mulyani teopebegete y jokowimenangtotaldebat
1642,netral,ketka sandiuno dibilang jokowi tidak mengerti ekonomi makro a,ketka sandiuno dibilang jokowi tidak mengerti ekonomi makro a,ketka sandiuno bilang jokowi tidak erti ekonomi makro a
1643,negatif,beranipilih02 jokowimenangtotaldebat barengjokowi menurut sandy dia dan prabowo bersedia tidak digaji jika nanti terpilih memang rakyat tolol ya terang saja kamu berdua sudah tajir melintir,beranipilih02 jokowimenangtotaldebat barengjokowi sandy prabowo bersedia tidak digaji terpilih rakyat tolol ya terang berdua tajir melintir,beranipilih02 jokowimenangtotaldebat barengjokowi sandy prabowo sedia tidak gaji pilih rakyat tolol ya terang dua tajir melintir
1644,positif,sungguh mulia hatinyarela tidak mau ambil gaji sepeser pun kalau terpilih jadi presidenmasih ada orang yang tidak memikirkan diri sendirisedangkan siapa si yang tidak menerlukan didunia iniada yang sampai rela melakukan apapun demi mendapatkan uangtp hati mu prabowo sandi berkata lain,sungguh mulia hatinyarela tidak ambil gaji sepeser terpilih presidenmasih orang tidak memikirkan sendirisedangkan si tidak menerlukan didunia iniada rela apapun uangtp hati mu prabowo sandi,sungguh mulia hatinyarela tidak ambil gaji peser pilih presidenmasih orang tidak pikir sendirisedangkan si tidak luk dunia iniada rela apa uangtp hati mu prabowo sandi
1645,negatif,ngerti tidak istilah tadi makanya keluar dari kolam brolihat cina ekonominya maju kita harus seperti itu ekonomi meroket bukan nyungsepbukan ideologinya makanya ada istilah belajar sampai ke negeri cina ah iq200 sekolam,ngerti tidak istilah kolam brolihat cina ekonominya maju ekonomi meroket nyungsepbukan ideologinya istilah belajar negeri cina ah iq200 sekolam,ngerti tidak istilah kolam brolihat cina ekonomi maju ekonomi roket nyungsepbukan ideologi istilah ajar negeri cina ah iq200 kolam
1646,positif,masyaallah hati mu mulia ajika kami terpilih menjadi presiden dan wakil presiden kami berdua tidak akan mengambil gaji 1 rupiah pun kami akan akan memberikan gaji kami kepada duafa dan untuk negara a a prabowosandi a semakin mantap hati ini pada pilihan,masyaallah hati mu mulia ajika terpilih presiden wakil presiden berdua tidak mengambil gaji 1 rupiah gaji duafa negara a a prabowosandi a mantap hati pilihan,masyaallah hati mu mulia ajika pilih presiden wakil presiden dua tidak ambil gaji 1 rupiah gaji duafa negara a a prabowosandi a mantap hati pilih
1647,positif,kapal oleng aaku ingin begini saya ingin begitu ingin ini ingin itu banyak sekali semua semua semua dapat dikabulkan dapat dikabulkan dengan sumbangan ajaib saya ingin harga murah petani sejahtera hei oke oke jawabannyaa yzyz prabowo sandi campaign 2019 a,kapal oleng aaku dikabulkan dikabulkan sumbangan ajaib harga murah petani sejahtera hei oke oke jawabannyaa yzyz prabowo sandi campaign 2019 a,kapal oleng aaku kabul kabul sumbang ajaib harga murah tani sejahtera hei oke oke jawabannyaa yzyz prabowo sandi campaign 2019 a
1648,negatif,gaji kami akan kami kembalikan ke negara untuk yatim dhuafa prabowosandi 1 elit yang cinta negara dan patriotik,gaji kembalikan negara yatim dhuafa prabowosandi 1 elit cinta negara patriotik,gaji kembali negara yatim dhuafa prabowosandi 1 elit cinta negara patriotik
1649,netral,beberapa politikus demokrat keluar ruangan debat terakhir pilpres 2019 atas pernyataan prabowo yang menyalahkan presiden sebelulmnya soal ekonomi yang salah jokowimenangtotaldebat coblos01sudahterbukti indonesia maju yy pictwittercomm8wxgzocxy,politikus demokrat ruangan debat pilpres 2019 pernyataan prabowo menyalahkan presiden sebelulmnya ekonomi salah jokowimenangtotaldebat coblos01sudahterbukti indonesia maju yy pictwittercomm8wxgzocxy,politikus demokrat ruang debat pilpres 2019 nyata prabowo salah presiden sebelulmnya ekonomi salah jokowimenangtotaldebat coblos01sudahterbukti indonesia maju yy pictwittercomm8wxgzocxy
1650,netral,atidak mengambil gajia resep yang sudah terbukti menang gokil tapi debat tidak akan mengubah pikiran yang sudah pro jokowi atau pro prabowo sih tapi debat terakhir ini bisa mengubah pikiran para swing voters siap siap saja 17 april seru ini,atidak mengambil gajia resep terbukti menang gokil debat tidak mengubah pikiran pro jokowi pro prabowo sih debat mengubah pikiran swing voters 17 april seru,atidak ambil gajia resep bukti menang gokil debat tidak ubah pikir pro jokowi pro prabowo sih debat ubah pikir swing voters 17 april seru
1651,negatif,padahal sandi itu pengusaha seharusnya paham perbedaan antara ekonomi mikro dan makro,sandi pengusaha paham perbedaan ekonomi mikro makro,sandi usaha paham beda ekonomi mikro makro
1652,netral,ingin punya pemimpin yang tidak menerima gaji sepeserpun tusuk prabowo sandi,pemimpin tidak menerima gaji sepeserpun tusuk prabowo sandi,pimpin tidak terima gaji peser tusuk prabowo sandi
1653,positif,subhanallah masya allah hebat salutdi debat akhir penutup 02 prabowo sandi keren habisgaji tidak diambil seluruh elemen sektor ekonomi dan sektor tenaga kerja dan seluruh pelaku ulama relawan dan lain diberikan anugrah menag telak 10 0 debatpilpres2019,subhanallah masya allah hebat salutdi debat penutup 02 prabowo sandi keren habisgaji tidak diambil elemen sektor ekonomi sektor tenaga kerja pelaku ulama relawan anugrah menag telak 10 0 debatpilpres2019,subhanallah masya allah hebat salutdi debat tutup 02 prabowo sandi keren habisgaji tidak ambil elemen sektor ekonomi sektor tenaga kerja laku ulama rawan anugrah menag telak 10 0 debatpilpres2019
1654,netral,statement kalau pak prabowo dan pak sandi tidak akan mengambil gaji sepeserpun semuanya akan digunakan untuk kepentingan rakyat y s,statement prabowo sandi tidak mengambil gaji sepeserpun kepentingan rakyat y s,statement prabowo sandi tidak ambil gaji peser penting rakyat y s
1655,positif,sandi mempesona cerdas dalam pemaparan dan sukses sebagai pelaku bisnis insyaallah ekonomi di bawah prabowo sandiuno akan membaik hoaxjkwmenangtotaldebat,sandi mempesona cerdas pemaparan sukses pelaku bisnis insyaallah ekonomi prabowo sandiuno membaik hoaxjkwmenangtotaldebat,sandi pesona cerdas papar sukses laku bisnis insyaallah ekonomi prabowo sandiuno baik hoaxjkwmenangtotaldebat
1656,netral,komitmen prabowo sandi tidak mengambil gaji begitu terpilih jadi presiden ini membuktikan bahwa prabowo sandi ikhlas untuk negeri ini tidak untuk memperkaya diri sendiri,komitmen prabowo sandi tidak mengambil gaji terpilih presiden membuktikan prabowo sandi ikhlas negeri tidak memperkaya,komitmen prabowo sandi tidak ambil gaji pilih presiden bukti prabowo sandi ikhlas negeri tidak kaya
1657,negatif,ada orang pajak yang tidak mau kongkalikongujung2nya sipegawai pajak kena teror dari otkdr oknum pegawai pajak juga ada omsehingga penerimaan pajak negara berkurangy s,orang pajak tidak kongkalikongujung2nya sipegawai pajak kena teror otkdr oknum pegawai pajak omsehingga penerimaan pajak negara berkurangy s,orang pajak tidak kongkalikongujung2nya sipegawai pajak kena teror otkdr oknum pegawai pajak omsehingga terima pajak negara berkurangy s
1658,negatif,makasih berkat jokowi listrik mahal subsidi dihilangkan harga pokok mahal lapangan kerja sulit,makasih berkat jokowi listrik mahal subsidi dihilangkan harga pokok mahal lapangan kerja sulit,makasih berkat jokowi listrik mahal subsidi hilang harga pokok mahal lapang kerja sulit
1659,netral,prabowo sandi sumbangkan gajinya jika terpilih menandakan dia sudah selesai dengan pribadinya tinggal berfikir tentang negara dan bangsanya debatpilpres2019,prabowo sandi sumbangkan gajinya terpilih menandakan selesai pribadinya tinggal berfikir negara bangsanya debatpilpres2019,prabowo sandi sumbang gaji pilih tanda selesai pribadi tinggal berfikir negara bangsa debatpilpres2019
1660,positif,teman sendiri ditelikung hahahahaha dan sang jendral secara tidak langsung mengakui arah ekonomi dibawah jokowi sudah tepat hehehehe a debatpilpres2019 debatterakhirpilpres2019 jokowimenangtotaldebat,teman ditelikung hahahahaha sang jendral tidak langsung mengakui arah ekonomi dibawah jokowi hehehehe a debatpilpres2019 debatterakhirpilpres2019 jokowimenangtotaldebat,teman telikung hahahahaha sang jendral tidak langsung aku arah ekonomi bawah jokowi hehehehe a debatpilpres2019 debatterakhirpilpres2019 jokowimenangtotaldebat
1661,negatif,gaji presiden kurang lebih cuma 65jt itu prabowo uang segitu buat beli kuda 1 ekor saja itu kurang banyak sangat gaji wapres kisaran 45jt yaelah uang jajan seminggu anaknya sandi kali itu y y,gaji presiden 65jt prabowo uang segitu beli kuda 1 ekor gaji wapres kisaran 45jt yaelah uang jajan seminggu anaknya sandi kali y y,gaji presiden 65jt prabowo uang segitu beli kuda 1 ekor gaji wapres kisar 45jt yaelah uang jajan minggu anak sandi kali y y
1662,netral,sandi sebut ia tidak akan mengambil gajinya jika ia menjabat sebagai cawapres sedang prabowo sebut jangan politisasi uu desa debatcapres pilpres2019 pictwittercome97rqlrlri,sandi tidak mengambil gajinya menjabat cawapres prabowo politisasi uu desa debatcapres pilpres2019 pictwittercome97rqlrlri,sandi tidak ambil gaji jabat cawapres prabowo politisasi uu desa debatcapres pilpres2019 pictwittercome97rqlrlri
1663,negatif,they dont expect that template debat mereka kan cuma dikuasai asing naikan rasio pajak harga mahal dan bersama prabowo sandi,they dont expect that template debat dikuasai asing naikan rasio pajak harga mahal prabowo sandi,they dont expect that template debat asai asing naik rasio pajak harga mahal prabowo sandi
1664,negatif,sudah paham kan jokowi mengajak main game pantas bacanya komik anak saya saja sudah saya batasin main game sudah jelas juga prabowo mengajak kemandirian pangan sbb kalau perut kenyangekonomi baik insyaallah negara aman mau main game sambil tahan lapar aagympilihprabowo,paham jokowi mengajak main game bacanya komik anak batasin main game prabowo mengajak kemandirian pangan sbb perut kenyangekonomi insyaallah negara aman main game tahan lapar aagympilihprabowo,paham jokowi ajak main game baca komik anak batasin main game prabowo ajak mandiri pangan sbb perut kenyangekonomi insyaallah negara aman main game tahan lapar aagympilihprabowo
1665,positif,strategi 02 untuk membawa isu ekonomi dari pandangan rakyat seperti cukup menarik perhatian tapi memang kedua pasangan ini pola pikir nya berbeda menurut saya jokowi maruf sangat praktikal dan prabowo sandi sangat konsep,strategi 02 membawa isu ekonomi pandangan rakyat menarik perhatian pasangan pola pikir nya berbeda jokowi maruf praktikal prabowo sandi konsep,strategi 02 bawa isu ekonomi pandang rakyat tarik perhati pasang pola pikir nya beda jokowi maruf praktikal prabowo sandi konsep
1666,positif,sebenarnya 02 sangat lihai membawa isu ekonomi dalam kampanye ini menurut saya 01 cukup kewalahan dalam menangkal berbagai narasi 02 memang karena fokus jokowi adalah infrastruktur ibaratnya adalah modal dan tidak terlihat langsung efeknya,02 lihai membawa isu ekonomi kampanye 01 kewalahan menangkal narasi 02 fokus jokowi infrastruktur modal tidak langsung efeknya,02 lihai bawa isu ekonomi kampanye 01 kewalahan tangkal narasi 02 fokus jokowi infrastruktur modal tidak langsung efek
